"i","value"
156,2.969430831157135e-32
157,2.9701387809886111e-32
158,2.9720085735537311e-32
159,2.9739451191386959e-32
160,2.9742840925429329e-32
161,2.9711567131585774e-32
162,2.962645158065113e-32
163,2.9475580105996099e-32
164,2.9257649479259452e-32
165,2.8974995552159268e-32
166,2.8637888708381016e-32
167,2.825637780435592e-32
168,2.7839632002227682e-32
169,2.73972300014906e-32
170,2.6941013020275116e-32
171,2.6484503872688384e-32
172,2.6042374124956855e-32
173,2.5629039399645867e-32
174,2.5258572832248623e-32
175,2.4948779885393297e-32
176,2.4707138971805864e-32
177,2.4530106976852898e-32
178,2.4412794878674662e-32
179,2.434886558104334e-32
180,2.4328065855399769e-32
181,2.4339375949103683e-32
182,2.4375513833920132e-32
183,2.443503775331777e-32
184,2.4517981124963431e-32
185,2.4619607480349369e-32
186,2.473418009216681e-32
187,2.485545167610605e-32
188,2.4977467869566202e-32
189,2.5098168448500533e-32
190,2.5207662494514085e-32
191,2.5295433411954449e-32
192,2.5357807503352233e-32
193,2.5397352780349608e-32
194,2.5418890078096885e-32
195,2.5429459767330309e-32
196,2.5434802629300043e-32
197,2.5437449666113972e-32
198,2.5437500344792518e-32
199,2.5438262025860399e-32
200,2.544730127787207e-32
201,2.547236057869437e-32
202,2.5519936867200404e-32
203,2.55937766552774e-32
204,2.5696876008557752e-32
205,2.5828746188898212e-32
206,2.5980921543268882e-32
207,2.6140657811078585e-32
208,2.6297493170616404e-32
209,2.6448403434312361e-32
210,2.6590439449491776e-32
211,2.6717101205388519e-32
212,2.6820586104378461e-32
213,2.6890917581367256e-32
214,2.6918735685631378e-32
215,2.6894932132702565e-32
216,2.6807943140060544e-32
217,2.6651796667158669e-32
218,2.6429819023004504e-32
219,2.6153215786685973e-32
220,2.5841728894314762e-32
221,2.5521402476487559e-32
222,2.5215039175768602e-32
223,2.4934953851719324e-32
224,2.4684820571485436e-32
225,2.4466159246791886e-32
226,2.4282297665497731e-32
227,2.4135722331215846e-32
228,2.4027492798717743e-32
229,2.3959698019207609e-32
230,2.3928468701913792e-32
231,2.3930241980032213e-32
232,2.3964948969662271e-32
233,2.4029803455279247e-32
